M,model,method,ASR,AUC,T@1%F,T@5%F
5,Llama2-7b,Ours,0.7871,0.8254,0.0234,0.1718
5,Llama3.2-3b,Ours,0.7871,0.8251,0.0195,0.1719
5,Llama2-13b,Ours,0.7871,0.82502,0.0215,0.1699
5,mistral-7b,Ours,0.7891,0.82497,0.0254,0.1738
5,QWen3-8b,Ours,0.7871,0.8249,0.0215,0.1719
