M,model,method,ASR,AUC,T@1%F,T@5%F
2,Llama2-7b,Ours,0.7861,0.8248,0.0215,0.1738
2,Llama3.2-3b,Ours,0.7871,0.8246,0.02148,0.1699
2,Llama2-13b,Ours,0.7881,0.8249,0.0215,0.1738
2,mistral-7b,Ours,0.7871,0.8245,0.0215,0.1778
2,QWen3-8b,Ours,0.7871,0.82471,0.0215,0.1738
