metric,Llama2-7b,Llama3.2-3b,Llama2-13b,mistral-7b,QWen3-8b
ASR,0.7891,0.7861,0.7881,0.7861,0.7871
AUC,0.8322,0.8246,0.8247,0.8249,0.8247
T@1%F,0.0332,0.0195,0.0215,0.0215,0.0234
T@5%F,0.2031,0.1738,0.1738,0.1738,0.1738
