M,model,method,ASR,AUC,T@1%F,T@5%F
3,Llama2-7b,Ours,0.7891,0.8322,0.0332,0.2031
3,Llama3.2-3b,Ours,0.7861,0.8246,0.0195,0.1738
3,Llama2-13b,Ours,0.7881,0.8247,0.0215,0.1738
3,mistral-7b,Ours,0.7861,0.8249,0.0215,0.1738
3,QWen3-8b,Ours,0.7871,0.8247,0.0234,0.1738
