metric,Llama2-7b,Llama3.2-3b,Llama2-13b,mistral-7b,QWen3-8b
ASR,0.7871,0.7871,0.7871,0.7891,0.7871
AUC,0.8254,0.8251,0.82502,0.82497,0.8249
T@1%F,0.0234,0.0195,0.0215,0.0254,0.0215
T@5%F,0.1718,0.1719,0.1699,0.1738,0.1719
