metric,Llama2-7b,Llama3.2-3b,Llama2-13b,mistral-7b,QWen3-8b
ASR,0.7861,0.7871,0.7881,0.7871,0.7871
AUC,0.8248,0.8246,0.8249,0.8245,0.82471
T@1%F,0.0215,0.02148,0.0215,0.0215,0.0215
T@5%F,0.1738,0.1699,0.1738,0.1778,0.1738
