M,model,method,ASR,AUC,T@1%F,T@5%F
4,Llama2-7b,Ours,0.7861,0.8246,0.0234,0.1719
4,Llama3.2-3b,Ours,0.7852,0.8248,0.0215,0.1738
4,Llama2-13b,Ours,0.7881,0.8247,0.0215,0.1719
4,mistral-7b,Ours,0.7871,0.8247,0.0195,0.1699
4,QWen3-8b,Ours,0.7871,0.8248,0.0215,0.1738
